Email Text,Label
"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
"Dear Jordan, your account has been compromised. Click the link to reset your password immediately.",Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
"Dear Chris, your account has been compromised. Click the link to reset your password immediately.",Spam
Important: Update your email account settings to avoid service interruption.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
"Dear John, your account has been compromised. Click the link to reset your password immediately.",Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Spam
You have a new secure message from your bank. Click here to read it.,Spam
"Dear Morgan, your account has been compromised. Click the link to reset your password immediately.",Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
"Dear Chris, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Morgan, your account has been compromised. Click the link to reset your password immediately.",Spam
"Dear Jordan, your account has been compromised. Click the link to reset your password immediately.",Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
"Dear John, your account has been compromised. Click the link to reset your password immediately.",Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Jordan, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
"Dear Jordan, your account has been compromised. Click the link to reset your password immediately.",Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Spam
"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $500 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Spam
Important: Update your email account settings to avoid service interruption.,Spam
Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Your package delivery is pending. Please provide your personal information to confirm delivery.,Spam
Your invoice is attached. Please review and pay promptly to avoid penalties.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
You have a new secure message from your bank. Click here to read it.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Alert: Unusual login attempt detected. Verify your account by clicking here.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
"Dear Taylor, your account has been compromised. Click the link to reset your password immediately.",Spam
We noticed some unusual activity in your account. Log in to review recent transactions.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
Your payment has been declined. Update your billing information to continue using our service.,Spam
Important: Update your email account settings to avoid service interruption.,Spam
Your subscription is about to expire. Renew now to continue enjoying our services.,Spam
"Dear Morgan, your account has been compromised. Click the link to reset your password immediately.",Spam
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Spam
Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Spam
